Year-State,Inactive-Female,Inactive-Male,Inactive-Overall,Obese-Female,Obese-Male,Obese-Overall,Diabetic-Female,Diabetic-Male,Diabetic-Overall,Stroke-Female,Stroke-Male,Stroke-Overall,Coronary Disease-Female,Coronary Disease-Male,Coronary Disease-Overall,Heart Attack-Female,Heart Attack-Male,Heart Attack-Overall,Major CV Disease-Female,Major CV Disease-Male,Major CV Disease-Overall,current_overall,current_female,current_male,Never_overall,Never_female,Never_male,Former_overall,Former_female,Former_male
2011-GA,70.5,76.0,73.2,29.7,27.8,28.7,10.0,10.3,10.1,3.2,3.7,3.4,3.6,5.4,4.4,3.4,5.5,8.6,7.5,9.9,8.6,21.2,18.2,24.3,56.7,62.8,50.1,22.1,18.9,25.5
2011-HI,76.0,81.8,79.0,20.1,25.6,23.0,7.4,8.1,7.7,1.9,2.6,2.2,2.1,3.3,2.6,1.6,4.4,5.6,4.3,7.2,5.6,16.8,13.9,19.7,57.3,63.8,50.8,25.9,22.3,29.5
2011-ID,78.3,79.4,78.8,28.7,26.8,27.7,8.0,10.1,9.0,2.2,2.3,2.2,3.1,4.8,3.9,2.6,4.8,7.3,6.1,8.6,7.3,17.2,15.0,19.4,58.5,64.0,52.8,24.4,21.0,27.7
2011-IL,73.6,76.7,75.2,26.6,28.9,27.7,7.9,10.8,9.3,3.3,2.6,3.0,2.8,3.6,3.2,2.3,4.4,7.2,6.6,7.9,7.2,20.9,17.8,24.2,54.7,60.8,48.4,24.4,21.5,27.4
2011-IN,71.5,71.0,71.2,30.9,31.1,31.0,9.4,10.0,9.6,3.2,3.2,3.2,3.5,5.7,4.5,3.7,6.9,9.0,7.6,10.5,9.0,25.6,23.8,27.6,49.7,54.7,44.4,24.7,21.6,28.1
2011-IA,76.1,73.5,74.7,28.0,30.6,29.2,6.9,7.9,7.4,2.1,2.1,2.1,2.5,4.2,3.3,2.5,4.5,6.6,5.4,8.0,6.6,20.4,18.6,22.2,54.6,60.5,48.4,25.0,20.9,29.4
2011-KS,74.3,72.9,73.6,29.8,30.6,30.2,8.2,9.8,9.0,2.6,2.5,2.5,3.4,5.1,4.2,2.8,5.6,7.9,6.7,9.3,7.9,22.0,19.5,24.6,55.6,60.8,50.2,22.4,19.7,25.2
2011-KY,70.7,72.2,71.4,31.3,30.2,30.7,10.0,10.2,10.0,3.7,3.5,3.6,4.5,6.6,5.4,4.1,7.3,10.3,8.8,11.9,10.3,29.0,26.6,31.6,46.8,51.7,41.5,24.2,21.8,26.9
2011-LA,63.5,69.8,66.5,34.9,34.5,34.7,10.7,12.1,11.4,3.8,3.3,3.6,4.2,5.3,4.7,3.9,6.0,9.5,8.8,10.4,9.5,25.7,22.3,29.5,52.2,58.7,45.2,22.0,19.0,25.3
2011-ME,78.5,77.7,78.1,28.3,28.3,28.3,7.5,9.1,8.2,2.3,2.5,2.4,3.2,5.5,4.3,2.9,6.3,8.0,6.2,9.9,8.0,22.8,20.6,25.1,45.6,50.1,40.8,31.6,29.2,34.1
2011-MD,72.7,75.9,74.2,28.2,29.0,28.6,8.5,9.5,9.0,2.5,2.5,2.5,3.1,4.8,3.8,2.8,5.4,7.4,6.2,8.9,7.4,19.1,17.2,21.2,58.3,61.2,55.1,22.6,21.6,23.7
2011-MA,75.9,78.1,76.9,21.5,24.6,23.0,6.7,8.3,7.4,1.8,2.3,2.0,2.6,4.5,3.4,2.3,5.0,6.6,5.2,8.3,6.6,18.2,16.9,19.7,53.5,55.5,51.3,28.3,27.6,29.1
2011-MI,76.0,78.3,77.1,31.6,32.2,31.8,8.6,9.6,9.1,3.0,2.9,2.9,3.6,5.4,4.4,3.6,5.9,8.4,7.5,9.6,8.4,23.3,19.6,27.2,51.0,56.8,44.9,25.7,23.5,27.9
2011-MN,78.4,78.4,78.4,23.3,29.3,26.4,6.2,7.8,6.9,1.7,2.3,2.0,2.1,3.9,3.0,1.8,4.8,6.0,4.4,7.9,6.0,19.1,17.0,21.2,54.7,58.8,50.5,26.2,24.3,28.2
